YearOfCreation,nb_HORECA_society_created
2025,2634
2024,5385
2023,4914
2022,4466
2021,3709
2020,3163
2019,3402
2018,2993
2017,2736
2016,2543
2015,2032
2014,1902
2013,1591
2012,1450
2011,1401
2010,1296
2009,1180
2008,1175
2007,1109
2006,1016
2005,890
2004,888
2003,822
2002,759
2001,702
2000,582
1999,587
1998,600
1997,618
1996,601
1995,583
1994,555
1993,512
1992,482
1991,434
1990,406
1989,458
1988,398
1987,331
1986,331
1985,260
1984,205
1983,240
1982,183
1981,169
1980,125
1979,112
1978,136
1977,121
1976,107
1975,98
1974,90
1973,90
1972,80
1971,164
1970,63
1969,59
1968,110
1967,31
1966,23
1965,25
1964,20
1963,11
1962,20
1961,7
1960,7
1959,11
1958,5
1957,17
1956,10
1955,10
1954,7
1953,10
1952,4
1951,6
1950,2
1949,4
1948,7
1947,8
1945,4
1943,2
1942,1
1940,5
1939,6
1938,5
1937,3
1936,1
1935,4
1934,5
1933,3
1932,2
1931,4
1930,1
1929,2
1928,6
1927,4
1926,2
1925,5
1924,8
1923,21
1922,19
1921,1
1920,1
1919,1
1917,1
1909,1
1908,1
1905,1
1876,1
1800,6
